Comp = Premier League, season = 2024, Regular Season - 20
Comp = Premier League, season = 2024, Regular Season - 21
Comp = Premier League, season = 2024, Regular Season - 22
Comp = Premier League, season = 2024, Regular Season - 23
Comp = Premier League, season = 2024, Regular Season - 24
Comp = Premier League, season = 2024, Regular Season - 25
Comp = Premier League, season = 2024, Regular Season - 26
Comp = Premier League, season = 2024, Regular Season - 27
Comp = Premier League, season = 2024, Regular Season - 28
Comp = Premier League, season = 2024, Regular Season - 29
Comp = Premier League, season = 2024, Regular Season - 30
Comp = Premier League, season = 2024, Regular Season - 31
Comp = Premier League, season = 2024, Regular Season - 32
Comp = Premier League, season = 2024, Regular Season - 33
Comp = Premier League, season = 2024, Regular Season - 34
Comp = Premier League, season = 2024, Regular Season - 35
Comp = Premier League, season = 2024, Regular Season - 36
Comp = Premier League, season = 2024, Regular Season - 37
Comp = Premier League, season = 2024, Regular Season - 38
Comp = Championship, season = 2021, Regular Season - 1
Comp = Championship, season = 2021, Regular Season - 2
Comp = Championship, season = 2021, Regular Season - 3
Comp = Championship, season = 2021, Regular Season - 4
Comp = Championship, season = 2021, Regular Season - 5
Comp = Championship, season = 2021, Regular Season - 6
Comp = Championship, season = 2021, Regular Season - 7
Comp = Championship, season = 2021, Regular Season - 8
Comp = Championship, season = 2021, Regular Season - 9
Comp = Championship, season = 2021, Regular Season - 10
Comp = Championship, season = 2021, Regular Season - 11
Comp = Championship, season = 2021, Regular Season - 12
Comp = Championship, season = 2021, Regular Season - 13
Comp = Championship, season = 2021, Regular Season - 14
Comp = Championship, season = 2021, Regular Season - 15
Comp = Championship, season = 2021, Regular Season - 16
Comp = Championship, season = 2021, Regular Season - 17
Comp = Championship, season = 2021, Regular Season - 18
Comp = Championship, season = 2021, Regular Season - 19
Comp = Championship, season = 2021, Regular Season - 20
Comp = Championship, season = 2021, Regular Season - 21
Comp = Championship, season = 2021, Regular Season - 22
Comp = Championship, season = 2021, Regular Season - 23
Comp = Championship, season = 2021, Regular Season - 24
Comp = Championship, season = 2021, Regular Season - 25
Comp = Championship, season = 2021, Regular Season - 26
Comp = Championship, season = 2021, Regular Season - 27
Comp = Championship, season = 2021, Regular Season - 28
Comp = Championship, season = 2021, Regular Season - 29
Comp = Championship, season = 2021, Regular Season - 30
Comp = Championship, season = 2021, Regular Season - 31
Comp = Championship, season = 2021, Regular Season - 32
Comp = Championship, season = 2021, Regular Season - 33
Comp = Championship, season = 2021, Regular Season - 34
Comp = Championship, season = 2021, Regular Season - 35
Comp = Championship, season = 2021, Regular Season - 36
Comp = Championship, season = 2021, Regular Season - 37
Comp = Championship, season = 2021, Regular Season - 38
Comp = Championship, season = 2021, Regular Season - 39
Comp = Championship, season = 2021, Regular Season - 40
Comp = Championship, season = 2021, Regular Season - 41
Comp = Championship, season = 2021, Regular Season - 42
Comp = Championship, season = 2021, Regular Season - 43
Comp = Championship, season = 2021, Regular Season - 44
Comp = Championship, season = 2021, Regular Season - 45
Comp = Championship, season = 2021, Regular Season - 46
Comp = Championship, season = 2021, Promotion Play-offs - Semi-finals
Comp = Championship, season = 2021, Promotion Play-offs - Final
Comp = Championship, season = 2022, Regular Season - 1
Comp = Championship, season = 2022, Regular Season - 2
Comp = Championship, season = 2022, Regular Season - 3
Comp = Championship, season = 2022, Regular Season - 4
Comp = Championship, season = 2022, Regular Season - 5
Comp = Championship, season = 2022, Regular Season - 6
Comp = Championship, season = 2022, Regular Season - 7
Comp = Championship, season = 2022, Regular Season - 8
Comp = Championship, season = 2022, Regular Season - 10
Comp = Championship, season = 2022, Regular Season - 11
Comp = Championship, season = 2022, Regular Season - 12
Comp = Championship, season = 2022, Regular Season - 13
Comp = Championship, season = 2022, Regular Season - 14
Comp = Championship, season = 2022, Regular Season - 9
Comp = Championship, season = 2022, Regular Season - 15
Comp = Championship, season = 2022, Regular Season - 16
Comp = Championship, season = 2022, Regular Season - 17
Comp = Championship, season = 2022, Regular Season - 18
Comp = Championship, season = 2022, Regular Season - 19
Comp = Championship, season = 2022, Regular Season - 20
Comp = Championship, season = 2022, Regular Season - 21
Comp = Championship, season = 2022, Regular Season - 22
Comp = Championship, season = 2022, Regular Season - 23
Comp = Championship, season = 2022, Regular Season - 24
Comp = Championship, season = 2022, Regular Season - 25
Comp = Championship, season = 2022, Regular Season - 26
Comp = Championship, season = 2022, Regular Season - 27
Comp = Championship, season = 2022, Regular Season - 28
Comp = Championship, season = 2022, Regular Season - 29
Comp = Championship, season = 2022, Regular Season - 30
Comp = Championship, season = 2022, Regular Season - 31
Comp = Championship, season = 2022, Regular Season - 32
Comp = Championship, season = 2022, Regular Season - 33
Comp = Championship, season = 2022, Regular Season - 34
Comp = Championship, season = 2022, Regular Season - 35
Comp = Championship, season = 2022, Regular Season - 36
Comp = Championship, season = 2022, Regular Season - 37
Comp = Championship, season = 2022, Regular Season - 38
Comp = Championship, season = 2022, Regular Season - 39
Comp = Championship, season = 2022, Regular Season - 40
Comp = Championship, season = 2022, Regular Season - 41
Comp = Championship, season = 2022, Regular Season - 42
Comp = Championship, season = 2022, Regular Season - 43
Comp = Championship, season = 2022, Regular Season - 44
Comp = Championship, season = 2022, Regular Season - 45
Comp = Championship, season = 2022, Regular Season - 46
