stat,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
home_offsides,627,31942,1.962932815728508,0,0.0,1.962932815728508
away_offsides,627,31942,1.962932815728508,0,0.0,1.962932815728508
away_fouls,109,31942,0.34124350385072943,124,0.3882036190595454,0.34124350385072943
home_fouls,109,31942,0.34124350385072943,110,0.3443741781979838,0.34124350385072943
away_shots_on_target,84,31942,0.26297664516936947,0,0.0,0.26297664516936947
home_shots_off_target,84,31942,0.26297664516936947,0,0.0,0.26297664516936947
away_shots_off_target,84,31942,0.26297664516936947,0,0.0,0.26297664516936947
home_shots_on_target,84,31942,0.26297664516936947,0,0.0,0.26297664516936947
away_total_shots,83,31942,0.2598459708221151,32,0.10018157911214076,0.2598459708221151
home_total_shots,83,31942,0.2598459708221151,15,0.04696011520881598,0.2598459708221151
home_possession,78,31942,0.2441925990858431,0,0.0,0.2441925990858431
away_possession,78,31942,0.2441925990858431,0,0.0,0.2441925990858431
away_corners,74,31942,0.2316699016968255,0,0.0,0.2316699016968255
home_corners,74,31942,0.2316699016968255,0,0.0,0.2316699016968255
home_red_cards,33,31942,0.10331225345939515,0,0.0,0.10331225345939515
away_yellow_cards,33,31942,0.10331225345939515,0,0.0,0.10331225345939515
away_red_cards,33,31942,0.10331225345939515,0,0.0,0.10331225345939515
home_yellow_cards,33,31942,0.10331225345939515,0,0.0,0.10331225345939515
home_xg,0,31942,0.0,0,0.0,0.0
away_attacks,0,31942,0.0,428,1.3399286206248826,0.0
home_prematch_xg,0,31942,0.0,1707,5.344061110763258,0.0
home_dangerous_attacks,0,31942,0.0,427,1.3367979462776283,0.0
away_xg,0,31942,0.0,0,0.0,0.0
away_prematch_xg,0,31942,0.0,1707,5.344061110763258,0.0
away_dangerous_attacks,0,31942,0.0,427,1.3367979462776283,0.0
home_attacks,0,31942,0.0,428,1.3399286206248826,0.0
