stat,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
away_prematch_xg,1707,31942,5.344061110763258,1707,5.344061110763258,5.344061110763258
home_prematch_xg,1707,31942,5.344061110763258,1707,5.344061110763258,5.344061110763258
home_offsides,627,31942,1.962932815728508,0,0.0,1.962932815728508
away_offsides,627,31942,1.962932815728508,0,0.0,1.962932815728508
away_attacks,428,31942,1.3399286206248826,428,1.3399286206248826,1.3399286206248826
home_attacks,428,31942,1.3399286206248826,428,1.3399286206248826,1.3399286206248826
away_dangerous_attacks,427,31942,1.3367979462776283,427,1.3367979462776283,1.3367979462776283
home_dangerous_attacks,427,31942,1.3367979462776283,427,1.3367979462776283,1.3367979462776283
away_fouls,233,31942,0.7294471229102749,124,0.3882036190595454,0.7294471229102749
home_fouls,219,31942,0.6856176820487133,110,0.3443741781979838,0.6856176820487133
away_total_shots,115,31942,0.36002754993425584,32,0.10018157911214076,0.36002754993425584
home_total_shots,98,31942,0.30680608603093107,15,0.04696011520881598,0.30680608603093107
away_shots_off_target,84,31942,0.26297664516936947,0,0.0,0.26297664516936947
away_shots_on_target,84,31942,0.26297664516936947,0,0.0,0.26297664516936947
home_shots_on_target,84,31942,0.26297664516936947,0,0.0,0.26297664516936947
home_shots_off_target,84,31942,0.26297664516936947,0,0.0,0.26297664516936947
home_possession,78,31942,0.2441925990858431,0,0.0,0.2441925990858431
away_possession,78,31942,0.2441925990858431,0,0.0,0.2441925990858431
home_corners,74,31942,0.2316699016968255,0,0.0,0.2316699016968255
away_corners,74,31942,0.2316699016968255,0,0.0,0.2316699016968255
away_red_cards,33,31942,0.10331225345939515,0,0.0,0.10331225345939515
home_red_cards,33,31942,0.10331225345939515,0,0.0,0.10331225345939515
away_yellow_cards,33,31942,0.10331225345939515,0,0.0,0.10331225345939515
home_yellow_cards,33,31942,0.10331225345939515,0,0.0,0.10331225345939515
away_xg,0,31942,0.0,0,0.0,0.0
home_xg,0,31942,0.0,0,0.0,0.0
